state1	percden99al	percpre99al	percany99al	state2	percden99perany	percpre99perany	perany99perany	state3	percden99perpre	percpre99perpre	perany99perpre	state4	percden99pertre	percpre99pertre
 AL 	 21.6 	 18.3 	 10.6 	 VT 	 45.0 	 39.8 	 21.0 	 VT 	 45.0 	 39.8 	 21.0 	 RI 	 32.7 	 30.7 
 AK 	 30.0 	 23.5 	 16.5 	 NE 	 40.4 	 34.7 	 20.0 	 NE 	 40.4 	 34.7 	 20.0 	 CA 	 31.4 	 24.6 
 AZ 	 19.9 	 14.9 	 11.3 	 MA 	 38.6 	 21.6 	 20.0 	 RI 	 32.7 	 30.7 	 29.4 	 VT 	 45.0 	 39.8 
 AR 	 19.6 	 15.8 	 10.1 	 KY 	 35.4 	 22.6 	 13.0 	 HI 	 33.3 	 30.3 	 20.2 	 HI 	 33.3 	 30.3 
 CA 	 31.4 	 24.6 	 21.8 	 MN 	 34.0 	 29.4 	 16.3 	 MN 	 34.0 	 29.4 	 16.3 	 NE 	 40.4 	 34.7 
 CO 	 26.4 	 21.8 	 13.3 	 HI 	 33.3 	 30.3 	 20.2 	 OH 	 22.8 	 26.6 	 8.8 	 MA 	 38.6 	 21.6 
 CT 	 27.6 	 24.3 	 12.0 	 IA 	 32.9 	 25.7 	 13.7 	 IA 	 32.9 	 25.7 	 13.7 	 AK 	 30.0 	 23.5 
 DE 	 15.9 	 11.9 	 4.9 	 RI 	 32.7 	 30.7 	 29.4 	 CA 	 31.4 	 24.6 	 21.8 	 MN 	 34.0 	 29.4 
 DC 	 19.3 	 15.5 	 8.7 	 CA 	 31.4 	 24.6 	 21.8 	 CT 	 27.6 	 24.3 	 12.0 	 GA 	 16.6 	 13.9 
 FL 	 24.5 	 20.0 	 13.8 	 WV 	 30.8 	 0.0 	 0.5 	 AK 	 30.0 	 23.5 	 16.5 	 WY 	 27.0 	 22.2 
 GA 	 16.6 	 13.9 	 16.2 	 AK 	 30.0 	 23.5 	 16.5 	 IN 	 26.6 	 22.7 	 14.1 	 IL 	 22.8 	 21.8 
 HI 	 33.3 	 30.3 	 20.2 	 NH 	 29.7 	 -   	 -   	 KY 	 35.4 	 22.6 	 13.0 	 LA 	 26.8 	 22.4 
 ID 	 23.7 	 -   	 -   	 TN 	 27.9 	 21.2 	 12.0 	 LA 	 26.8 	 22.4 	 14.2 	 WI 	 23.3 	 14.3 
