state	medelich2002	medelichproj2001	chipenrdec2001	chipenrdec2000	numchenr2001	progtype2001	chipfedmatrate2003	medifedmatrate2003	chipsepsteli2001	chipmedieli012002	chipmedieli152002	chipmedieli66162002	chipmedieli18192002	percdenchip2004	percdenchip2003	percdenchip2002	percdenchip2001	percdenchip2000	totnumactden98	percdenmedi2004	percdenmedi2003	percdenmedi2002	percdenmedi2001	percdenmedi2000	numdenmedi1998	percactdenenrmedi98	numdenpaymedi98	peractdenpaymedi98	numdengr10kmedi98	peractdengr10kmedi98	medivenpaytyp98tot	medivenpaytyp98densvc	medirecipage98tot	medirecipage98lt1	medirecipage9815	medirecipage98614	medirecipage981520	aaps98projprev021medu	aaps98projprev021medr	aaps98projprev021denu	aaps98projprev021denr	aaps98projprev021totu	aaps98projprev021totr	phce98mil	aveannpercgrphce8098	annpercgrphce98	phceden98mil	percpchedensvc98	aveannpercgrphcedensvc8098	Annpercgrphcedensvc98	phcemedi98mil	aveannpercgrphcemedi8098	annpercgrmediphce98	phce98meddensvcmil	percmedipchedensvs98	aveannpercgrphcedenscvmedi8098	annpercgrphcedensvcmedi98	allmedienroll98	medienrollage98lt21	percmedienrolllt2198	percmedipaydensvclt2198	avemedipayperchlt21densvc98	percmedienrolllt21densvc98	stheacarexpmil99
US	" 20,150,840.00 "	" 5,641,596.00 "	" 3,462,442.00 "	" 2,658,170.00 "	" 4,601,098.00 "																										" 142,317,903,795 "	" 901,385,043 "	" 39,665,703 "	" 1,557,803 "	" 6,928,505 "	" 8,548,618 "	" 3,768,192 "							"$1,016,303"	9.0		"$53,829"	5.3	8.1	5.3	"$159,212"	10.9	4.9	"$1,993"	1.3	7.9	2.2	"40,377,603"	"22,331,022"	56.4	0.4	172	13.7	"$238,497"
AL	" 337,726.00 "	" 73,797.00 "	" 46,971.00 "	" 32,915.00 "	" 68,179.00 "	C	79.42	70.60	200	133	133	100	100	71	61	61	55	63	1785	34	21	21	27	26	343	19	343	19	132	7	" 1,902,300,047 "	" 9,698,164 "	" 527,078 "	" 27,969 "	" 111,576 "	" 111,380 "	" 43,098 "	$7.63	$7.63	$10.09	$8.90	$17.72	$16.53	"$16,056"	9.5	3.5	$652	4.1	8.1	5.5	"$2,061"	11.4	0.1	$13	0.6	6.7	14.5	"628,220"	"364,832"	58.1	0.7	141	18.6	"$3,165"
AK	" 56,671.00 "	" 14,445.00 "	" 11,760.00 "	" 9,882.00 "	" 21,831.00 "	M	70.79	58.27	N/A*	200	200	200	200	106	86	79	83	69	NR*	106	86	79	83	69	NR*	NR*	NR*	NR*	NR*	NR*	" 330,378,398 "	" 8,420,013 "	" 74,508 "	" 3,402 "	" 13,768 "	" 17,224 "	" 7,395 "	$9.44	$9.44	$15.43	$15.43	$24.87	$24.87	"$2,299"	9.2	7.8	$173	7.5	9.6	3.5	$358	13.1	0.7	$8	2.1	12.4	18.8	"87,873"	"52,428"	59.7	2.0	421	29.8	$694
AZ	" 356,437.00 "	" 161,143.00 "	" 54,917.00 "	" 41,501.00 "	" 86,863.00 "	S	77.08	67.25	200	140	133	100	100	14	14	15	47	13	2036	14	14	15	47	32	576	57	366	36	190	19	" 1,643,966,305 "	" 2,518,958 "	" 507,668 "	" 46,561 "	" 110,446 "	" 119,360 "	" 43,213 "	$6.69	$6.69	$11.28	$10.68	$17.97	$17.37	"$14,782"	10.5	6.9	$867	5.9	9.7	8.3	"$1,731"	*	6.4	$58	3.4	*	39.7	"649,302"	"412,367"	63.5	0.2	33	18.4	"$3,221"
AR	" 218,077.00 "	" 106,502.00 "	" 1,686.00 "	" 1,498.00 "	" 2,884.00 "	M	82.00	74.28	N/A*	200	200	200	200	49	37	37	37	NR*	1004				37	32	1065	52	1000	49	NR*	NR*	" 1,375,797,421 "	" 7,789,946 "	" 424,727 "	" 16,248 "	" 77,228 "	" 93,906 "	" 48,658 "	$7.48	$7.48	$9.50	$9.50	$16.97	$16.97	"$8,463"	9.1	5.4	$392	4.6	8.9	6.7	"$1,390"	10.1	7.1	$11	0.8	4.6	21.7	"426,080"	"236,727"	55.6	0.5	211	15.7	"$2,399"
CA	" 3,032,311.00 "	" 946,535.00 "	" 540,964.00 "	" 389,137.00 "	" 693,048.00 "	C	65.00	50.00	250	200	133	100	100	0	31	0	NR*	NR*	20404	83	42	0	35	40	11690	57	9373	46	4722	23	" 14,236,592,915 "	" 17,764,417 "	" 7,082,175 "	" 138,898 "	" 1,206,917 "	" 1,534,178 "	" 753,019 "	$6.99	$6.37	$15.19	$14.24	$22.18	$20.61	"$110,057"	8.2	4.0	"$7,999"	7.3	7.8	4.4	"$14,240"	8.9	-1.4	$669	4.7	9.8	-11.3	"6,191,269"	"3,438,056"	55.5	0.1	234	1.8	"$26,393"
CO	" 165,167.00 "	" 52,850.00 "	" 38,228.00 "	" 28,158.00 "	" 45,773.00 "	S	65.00	50.00	185	133	133	100	43	32	23	NR*	NR*	NR*	2516	28	26	43	36	12	752	30	409	16	75	3	" 1,439,366,499 "	" 9,477,271 "	" 344,916 "	" 17,393 "	" 70,592 "	" 76,847 "	" 30,328 "	$6.98	$6.98	$11.87	$11.04	$18.85	$18.02	"$13,669"	9.4	7.0	$944	6.9	9.3	7.4	"$1,505"	12.2	4.9	$12	0.8	9.1	12.4	"346,928"	"200,408"	57.8	0.6	186	22.5	"$2,411"
CT	" 217,468.00 "	" 57,630.00 "	" 12,458.00 "	" 10,572.00 "	" 18,720.00 "	C	65.00	50.00	300	185	185	185	185	NR*	15	NR*	86	NR*	2400	NR*	15	NR*	86	NR*	774	32	511	21	96	4	" 2,420,791,474 "	" 7,461,733 "	" 381,208 "	" 11,337 "	" 61,527 "	" 91,304 "	" 38,712 "	$8.86	$8.86	$13.06	$13.65	$21.92	$22.51	"$15,221"	9.2	4.3	$896	5.9	7.9	2.8	"$2,672"	12.1	-0.3	$9	0.4	4.1	7.9	"402,547"	"213,695"	53.1	0.0	153	1.5	"$4,001"
DE	" 52,669.00 "	" 12,603.00 "	" 3,502.00 "	" 3,823.00 "	" 5,567.00 "	S	65.00	50.00	200	200	133	100	100	NR*	NR*	NR*	NR*	NR*	331	NR*	39	NR*	27	25	1	0	1	0	1	0	" 419,732,143 "	" 1,752,407 "	" 101,436 "	" 3,611 "	" 18,017 "	" 24,015 "	" 10,825 "	$6.73	$6.73	$11.28	$10.68	$18.00	$17.41	"$3,106"	10.0	6.5	$155	5.0	8.7	3.4	$395	12.6	4.5	$3	0.7	11.7	5.0	"105,153"	"58,513"	55.6	0.4	217	13.7	$909
DC	" 68,879.00 "	" 13,182.00 "	" 2,554.00 "	" 3,178.00 "	" 2,807.00 "	M	79.00	70.00	N/A*	200	200	200	200	NR*	23	NR*	NR*		NR*	4	23	NR*	NR*	NR*	NR*	NR*	NR*	NR*	NR*	NR*	" 731,292,552 "	" 1,367,185 "	" 166,146 "	" 3,164 "	" 23,730 "	" 28,842 "	" 10,957 "	$7.35	$7.35	$12.46	$12.46	$19.81	$19.81	"$4,258"	6.4	1.3	$151	3.5	7.4	5.5	$712	8.5	-7.1	$2	0.2	1.5	-17.3	"138,722"	"76,525"	55.2	0.1	79	15.0	NA
