Year	 range 	 type 	 US 	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
2003	 Total 	CN		48%	50%	56%	27%	40%	50%	57%	70%	75%	55%	100%		33%	73%	56%	98%	61%	47%	60%		52%	91%	46%	60%	29%	29%	55%	53%	99%		51%		89%	69%	49%	45%		51%	58%	53%	32%	41%	43%	60%	47%	88%	56%	50%	50%	55%	38%
2003	 Total 	MN		0%	0%	0%	0%	47%	0%	27%	0%	19%	41%	29%		0%	65%	0%	100%	55%	50%	26%		47%	92%	36%	100%	0%	0%	36%	5%	0%		0%		90%	36%	0%	0%		0%	28%	4%	19%	0%	29%	14%	16%	19%	50%	40%	39%	52%	0%
2003	 Total 	Total		48%	50%	56%	27%	41%	41%	56%	70%	69%	55%	100%		33%	73%	56%	98%	61%	48%	60%		52%	92%	46%	81%	29%	29%	55%	53%	99%		51%		89%	69%	49%	45%		51%	57%	53%	31%	41%	39%	60%	47%	88%	56%	50%	50%	55%	38%
2003	 <1 	CN		100%	83%	84%	52%	75%	88%	85%	71%	85%	80%	60%		56%	94%	76%	92%	81%	83%	88%		81%	100%	80%	84%	59%	59%	87%	97%	100%		88%		65%	91%	68%	86%		78%	86%	82%	65%	86%	74%	94%	82%	72%	76%	78%	91%	82%	83%
2003	 <1 	MN		0%	0%	0%	0%	1%	0%	1%	0%	19%	69%	0%		0%	71%	0%	46%	51%	84%	17%		100%	100%	51%	93%	0%	0%	0%	37%	0%		0%		77%	80%	0%	0%		0%	75%	0%	0%	0%	100%	54%	31%	8%	58%	40%	0%	71%	0%
2003	 <1 	Total		100%	83%	84%	52%	86%	86%	85%	71%	73%	80%	65%		56%	94%	76%	92%	81%	83%	88%		81%	100%	80%	85%	59%	59%	87%	97%	100%		8788%		75%	91%	68%	86%		78%	86%	82%	65%	86%	76%	93%	81%	71%	76%	78%	91%	81%	83%
2003	 1-2 	CN		67%	60%	65%	35%	66%	68%	79%	71%	77%	74%	100%		46%	73%	68%	82%	67%	65%	71%		74%	100%	56%	70%	40%	40%	64%	73%	83%		71%		69%	73%	42%	73%		60%	74%	79%	57%	63%	65%	70%	51%	83%	45%	75%	75%	65%	58%
2003	 1-2 	MN		0%	0%	0%	0%	80%	0%	67%	0%	26%	49%	0%		0%	45%	0%	31%	60%	67%	35%		81%	84%	42%	100%	0%	0%	8%	0%	0%		0%		69%	27%	0%	0%		0%	70%	0%	29%	0%	51%	20%	15%	43%	0%	83%	100%	56%	0%
2003	 1-2 	Total		67%	60%	65%	35%	68%	68%	79%	71%	74%	74%	100%		46%	73%	68%	82%	67%	65%	70%		75%	92%	56%	100%	40%	40%	40%	73%	83%		71%		69%	73%	42%	73%		60%	74%	79%	55%	63%	63%	70%	51%	83%	45%	75%	75%	63%	58%
2003	 3-5 	CN		54%	51%	48%	49%	48%	48%	65%	80%	82%	65%	100%		26%	63%	50%	85%	67%	59%	57%		62%	83%	42%	55%	36%	36%	49%	57%	92%		59%		75%	56%	46%	62%		45%	63%	63%	29%	47%	59%	59%	41%	94%	66%	43%	62%	49%	38%
2003	 3-5 	MN		0%	0%	0%	0%	63%	0%	71%	0%	35%	30%	0%		0%	68%	0%	57%	48%	59%	39%		57%	84%	40%	65%	0%	0%	33%	8%	0%		0%		73%	26%	0%	0%		0%	67%	0%	19%	0%	53%	30%	19%	22%	64%	71%	0%	44%	0%
2003	 3-5 	Total		54%	51%	48%	49%	50%	48%	65%	80%	79%	65%	100%		26%	63%	50%	85%	67%	59%	57%		62%	84%	42%	58%	36%	36%	49%	49%	92%		59%		74%	59%	46%	62%		45%	63%	63%	28%	47%	58%	59%	41%	94%	66%	43%	62%	60%	38%
2003	 6-9 	CN		35%	41%	50%	20%	45%	52%	50%	69%	100%	67%	100%		23%	55%	53%	100%	84%	45%	62%		43%	66%	28%	45%	15%	15%	34%	38%	94%		38%		100%	84%	51%	31%		39%	88%	48%	23%	23%	27%	79%	38%	100%	46%	28%	40%	60%	27%
2003	 6-9 	MN		0%	0%	0%	0%	63%	0%	50%	0%	39%	23%	0%		0%	57%	0%	88%	74%	51%	32%		39%	70%	36%	49%	0%	0%	40%	0%	0%		0%		100%	34%	0%	0%		0%	98%	0%	20%	0%	24%	31%	19%	31%	56%	43%	100%	46%	0%
2003	 6-9 	Total		35%	41%	50%	20%	47%	52%	50%	69%	100%	67%	100%		23%	55%	53%	100%	84%	46%	62%		43%	69%	38%	46%	15%	15%	35%	38%	94%		38%		100%	86%	51%	31%		39%	88%	48%	23%	23%	27%	79%	38%	100%	46%	28%	40%	60%	27%
2003	 10-14 	CN		34%	34%	44%	13%	21%	27%	53%	53%	64%	34%	100%		23%	99%	45%	100%	48%	39%	50%		42%	63%	36%	49%	12%	12%	48%	37%	100%		41%		99%	59%	53%	33%		51%	45%	47%	18%	27%	30%	43%	20%	86%	42%	60%	37%	49%	23%
2003	 10-14 	MN		0%	0%	0%	0%	32%	0%	50%	50%	18%	13%	0%		0%	100%	0%	94%	54%	42%	18%		37%	68%	33%	53%	0%	0%	43%	6%	0%		0%		98%	23%	0%	0%		0%	46%	0%	15%	0%	26%	19%	8%	17%	45%	45%	100%	33%	0%
2003	 10-14 	Total		34%	34%	44%	13%	22%	27%	53%	53%	58%	34%	100%		23%	99%	45%	100%	48%	39%	48%		42%	66%	36%	51%	12%	12%	47%	37%	100%		41%		98%	59%	53%	33%		51%	45%	47%	17%	27%	29%	43%	19%	86%	42%	60%	37%	49%	23%
2003	 15-18 	CN		22%	40%	46%	7%	16%	22%	37%	100%	54%	23%	27%		21%	65%	45%	100%	40%	22%	48%		36%	0%	39%	50%	15%	15%	48%	36%	100%		39%		100%	74%	49%	27%		26%	39%	36%	15%	32%	26%	31%	18%	96%	40%	37%	31%	44%	17%
2003	 15-18 	MN		0%	0%	0%	0%	19%	0%	37%	%	10%	7%	0%		0%	57%	0%	100%	56%	32%	23%		35%	0%	35%	53%	0%	0%	50%	0%	0%		0%		100%	55%	0%	0%		%	35%	0%	20%	0%	20%	13%	13%	40%	43%	7%	0%	20%	0%
2003	 15-18 	Total		22%	40%	46%	7%	16%	22%	37%	100%	48%	23%	27%		21%	64%	45%	100%	40%	23%	48%		36%	0%	39%	51%	15%	15%	48%	36%	100%		39%		100%	74%	49%	27%		26%	39%	36%	16%	32%	24%	31%	18%	95%	40%	37%	31%	44%	17%
2003	 19-20 	CN		2%	21%	31%	1%	5%	17%	24%	43%	41%	12%	9%		7%	79%	30%	100%	58%	.07.	21%		27%	0%	29%	44%	20%	20%	23%	23%	100%		25%		100%	14%	34%	9%		9%	21%	22%	4%	37%	23%	10%	5%	43%	41%	17%	17%	19%	6%
2003	 19-20 	MN		0%	0%	0%	0%	4%	0%	24%	0%	4%	4%	0%		0%	0%	0%	100%	35%	6%	7%		31%	0%	32%	54%	0%	0%	50%	4%	0%		0%		100%	12%	0%	0%		0%	17%	6%	0%	0%	15%	7%	0%	16%	40%	0%	9%	8%	0%
