Year	 range 	 type 	 US 	 AL 	 AK 	 AZ 	 AR 	 CA 	 CO 	 CT 	 DE 	 DC 	 FL 	 GA 	 HI 	 ID 	 IL 	 IN 	 IA 	 KS 	 KY 	 LA 	 ME 	 MD 	 MA 	 MI 	 MN 	 MS 	 MO 	 MT 	 NE 	 NV 	 NH 	 NJ 	 NM 	 NY 	 NC 	 ND 	 OH 	 OK 	 OR 	 PA 	 RI 	 SC 	 SD 	 TN 	 TX 	 UT 	 VT 	 VA 	 WA 	 WV 	 WI 	 WY 
2003	 Total 	 CN 		" 151,911 "	" 32,876 "	" 160,004 "	" 85,768 "	" 988,494 "	" 89,350 "	" 84,631 "	" 18,269 "	" 15,374 "	" 360,686 "	" 323,258 "		" 47,813 "	" 314,409 "	" 212,909 "	" 83,407 "	" 54,291 "	" 110,996 "	" 200,154 "		" 200,714 "	" 61,669 "	" 282,484 "	" 76,597 "	" 118,424 "	" 118,424 "	" 14,565 "	" 66,373 "	" 19,560 "		" 108,337 "		" 197,944 "	" 267,430 "	" 11,639 "	" 338,444 "		" 74,629 "	" 261,891 "	" 37,404 "	" 214,306 "	" 24,520 "	" 187,234 "	" 999,794 "	" 46,335 "	" 33,649 "	" 104,440 "	" 264,813 "	" 76,871 "	" 128,402 "	" 14,725 "
2003	 Total 	 MN 		 -   	 -   	 -   	 644 	" 143,461 "	 -   	 189 	 -   	" 1,398 "	 652 	 10 		 -   	" 1,634 "	 -   	 255 	 71 	" 13,906 "	 133 		" 11,185 "	" 104,034 "	" 3,640 "	" 49,367 "	 -   	 -   	 84 	 13 	 -   		 -   		" 294,875 "	 379 	 -   	 -   		 -   	" 5,795 "	 9 	" 30,991 "	 -   	" 62,029 "	" 2,047 "	 211 	 150 	 74 	 35 	 11 	" 6,434 "	 -   
2003	 Total 	 Total 		" 151,911 "	" 32,876 "	" 160,004 "	" 86,412 "	" 1,131,955 "	" 89,350 "	" 84,820 "	" 18,269 "	" 16,772 "	" 361,338 "	" 323,268 "		" 47,813 "	" 316,043 "	" 212,909 "	" 83,662 "	" 54,362 "	" 124,902 "	" 200,287 "		" 211,899 "	" 165,703 "	" 286,124 "	" 125,964 "	" 118,424 "	" 118,424 "	" 14,649 "	" 66,386 "	" 19,560 "		" 108,337 "	 -   	" 492,819 "	" 267,809 "	" 11,639 "	" 338,444 "		" 74,629 "	" 267,686 "	" 37,413 "	" 245,297 "	" 24,520 "	" 249,263 "	" 1,001,841 "	" 46,546 "	" 33,799 "	" 104,514 "	" 264,848 "	" 76,882 "	" 134,836 "	" 14,725 "
2003	 <1 	 CN 		 117 	 30 	 52 	 199 	 89 	 124 	 52 	 4 	 478 	 146 	 129 		 18 	 146 	 91 	 835 	 18 	 780 	 46 		" 23,863 "	 13 	 120 	 21 	 641 	 641 	 3 	 597 	 78 		 61 		 46 	" 2,844 "	 18 	 95 		 24 	 55 	 4 	 89 	 28 	 492 	 104 	 226 	 7 	 384 	 417 	" 1,194 "	" 5,600 "	 10 
2003	 <1 	 MN 		 -   	 -   	 -   	 -   	 17 	 -   	 -   	 -   	 -   	 2 	 -   		 -   	 1 	 -   	 -   	 -   	 54 	 -   		 407 	 23 	 -   	 6 	 -   	 -   	 -   	 -   	 -   		 -   		 206 	 23 	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 101 	 -   	 1 	 -   	 -   	 -   	 -   	 432 	 -   
2003	 <1 	 Total 		 117 	 30 	 52 	 199 	 106 	 124 	 52 	 4 	 478 	 148 	 129 		 18 	 147 	 91 	 835 	 18 	 834 	 46 		" 24,270 "	 36 	 120 	 27 	 641 	 641 	 3 	 597 	 78 		 61 		 252 	" 2,867 "	 18 	 95 		 24 	 55 	 4 	 89 	 28 	 593 	 104 	 227 	 7 	 384 	 417 	" 1,194 "	" 6,032 "	 10 
2003	 1-2 	 CN 		" 6,766 "	" 1,127 "	" 4,260 "	" 4,085 "	" 3,445 "	" 5,270 "	" 2,080 "	 331 	" 1,493 "	" 10,074 "	" 6,864 "		" 1,482 "	" 8,627 "	" 7,191 "	" 5,609 "	" 1,253 "	" 5,112 "	" 6,900 "		" 44,203 "	 747 	" 4,822 "	" 1,923 "	" 8,784 "	" 8,784 "	 459 	" 1,753 "	" 1,240 "		" 2,375 "		" 4,300 "	" 35,193 "	 299 	" 6,382 "		" 2,589 "	" 5,316 "	 189 	" 4,746 "	 605 	" 4,802 "	" 120,281 "	" 4,616 "	 788 	" 6,722 "	" 14,230 "	" 1,562 "	" 11,659 "	 487 
2003	 1-2 	 MN 		 -   	 -   	 -   	 26 	 282 	 -   	 -   	 -   	 9 	 6 	 -   		 -   	 7 	 -   	 3 	 -   	 633 	 4 		" 2,329 "	 957 	 17 	 395 	 -   	 -   	 -   	 -   	 -   		 -   		" 4,355 "	 31 	 -   	 -   		 -   	 31 	 -   	 258 	 -   	 568 	 4 	 9 	 2 	 1 	 -   	 -   	" 1,948 "	 -   
2003	 1-2 	 Total 		" 6,766 "	" 1,127 "	" 4,260 "	" 4,111 "	" 3,727 "	" 5,270 "	" 2,080 "	 331 	" 1,502 "	" 10,080 "	" 6,864 "		" 1,482 "	" 8,634 "	" 7,191 "	" 5,612 "	" 1,253 "	" 5,745 "	" 6,904 "		" 46,532 "	" 1,704 "	" 4,839 "	" 2,318 "	" 8,784 "	" 8,784 "	 459 	" 1,753 "	" 1,240 "		" 2,375 "		" 8,655 "	" 35,224 "	 299 	" 6,382 "		" 2,589 "	" 5,347 "	 189 	" 5,004 "	 605 	" 5,370 "	" 120,285 "	" 4,625 "	 790 	" 6,723 "	" 14,230 "	" 1,562 "	" 13,607 "	 487 
2003	 3-5 	 CN 		" 37,735 "	" 5,840 "	" 35,962 "	" 19,660 "	" 168,948 "	" 21,704 "	" 14,992 "	" 3,708 "	" 3,071 "	" 83,712 "	" 72,666 "		" 9,386 "	" 73,063 "	" 43,046 "	" 17,206 "	" 12,275 "	" 19,296 "	" 42,235 "		" 40,322 "	" 10,569 "	" 55,059 "	" 15,378 "	" 29,490 "	" 29,490 "	" 3,306 "	" 12,660 "	" 4,187 "		" 17,443 "		" 46,228 "	" 50,300 "	" 2,446 "	" 70,967 "		" 15,461 "	" 47,801 "	" 5,355 "	" 38,702 "	" 4,716 "	" 34,659 "	" 234,937 "	" 13,704 "	" 5,267 "	" 22,276 "	" 52,711 "	" 13,941 "	" 21,859 "	" 3,079 "
