state	dendirsta2002	accesscare2004	accesscare2003	accesscare2002	accesscare2001	denscreprog2004	denscreprog2003	denscreprog2002	denscreprog2001	dentsealprog2004	dentsealprog2003	dentsealprog2002	dentsealprog2001	eccbbtdprev2004	eccbbtdprev2003	eccbbtdprev2002	eccbbtdprev2001	fluorcomm2004	fluorcomm2003	fluorcomm2002	fluorcomm2001	fluormouth2004	fluormouth2003	fluormouth2002	fluormouth2001	fluorsupp2004	fluorsupp2003	fluorsupp2002	fluorsupp2001	fluorvarn2004	fluorvarn2003	fluorvarn2002	fluorvarn2001	mguard2004	mguard2003	mguard2002	mguard2001	needsass2004	needsass2003	needsass2002	needsass2001	oralhealthed2004	oralhealthed2003	oralhealthed2002	oralhealthed2001	smokespit2004	smokespit2003	smokespit2002	smokespit2001	percpubfluor2004	percpubfluor2003	percpubfluor2002	percpubfluor2001	percpubfluor2000	percpubfluor1992	fedqualheal1242004	fedqualheal1242003	fedqualheal1242002	fedqualheal1242001	fedqualheal1242000	numrurclin2004	numrurclin2003	numrurclin2002	numrurclin2001	numrurclin2000	commlowclin2004	commlowclin2003	commlowclin2002	commlowclin2001	schdenclin2004	schdenclin2003	schdenclin2002	schdenclin2001	schhealcenoral2004	schhealcenoral2003	schhealcenoral2002	schhealcenoral2001	localhealwden2004	localhealwden2003	localhealwden2002	localhealwden2001
 US 																																																						 65.80 	 62.10 					" 2,054.00 "					" 3,352.00 "																
 AL 	 Full time 	 100 	 300 	 300 	 no 	" 3,000 "	" 1,800 "		" 3,000 "		" 7,500 "		" 1,500 "	 -   	 -   	 -   	 500 	" 3,198,000 "	" 3,967,059 "	" 3,374,166 "	" 3,967,059 "	" 15,000 "	" 15,000 "	" 21,500 "	" 23,000 "	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 yes 	 yes 	 yes 	 yes 	" 15,000 "	" 15,000 "	 -   	" 26,000 "	 -   	 -   	 -   	 350 	 82 	 94 	 80 	 89 	 89 	 83 					 84 					 60 	 11 	 19 	 19 	 19 	 NA* 	 5 	 5 	 5 	 1 	 1 	 1 	 1 	 NA* 	 4 	 4 	 4 
 AK 	 Full time 	 yes 	 yes 	 yes 	 no 	 yes 	 yes 	 yes 	 no 	 yes 	 no 	 no 	 no 	 yes 	 yes 	 yes 	 no 	" 296,391 "	" 270,099 "	" 270,099 "	" 270,099 "	 no 	 no 	 no 	 no 	 yes 	 yes 	 yes 	 no 	 yes 	 yes 	 yes 	 no 	 no 	 no 	 no 	 no 	 yes 	 yes 		 no 	 yes 	 yes 	 yes 	 no 	 yes 	 no 	 no 	 no 	 57 	 55 	 55 	 55 	 55 	 61 					 11 					 11 	 42 	 5 	 4 	 2 	 NA* 	 -   	 -   	 -   	 NA* 	 -   	 NR* 	 -   	 NA* 	 1 	 1 	 -   
 AZ 	 Full time 	" 5,133 "	" 1,737 "	 yes 	 yes 	" 2,875 "	" 1,284 "	 no 	 no 	" 7,725 "	" 9,005 "	" 7,153 "	" 5,345 "	 416 	 394 	 175 	 yes 	" 2,739,062 "	" 2,816,632 "	" 2,881,754 "	" 2,700,354 "	" 26,500 "	" 33,450 "	" 51,771 "	" 46,868 "	 no 	 no 	 no 	 no 	 NA* 	 -   	 no 	 no 	 no 	 no 	 no 	 no 	" 3,434 "	" 5,373 "	" 4,017 "	" 3,233 "	" 2,240 "	" 2,194 "	" 5,221 "	" 2,039 "	 no 	 no 	 no 	 no 	 55 	 57 	 59 	 56 	 56 	 50 					 29 					 8 	 32 	 68 	 65 	 15 	 NA* 	 12 	 12 	 -   	 -   	 35 	 35 	 33 	 NA* 	 3 	 2 	 2 
 AR 	 Full time 	 409 	 501 	 532 	 71 	" 9,021 "	" 5,028 "	" 4,280 "	" 3,675 "	 243 	 158 	 no 	 no 	 yes 	 yes 	 yes 	 yes 	" 1,507,369 "	" 1,455,767 "	" 1,382,900 "	" 1,455,767 "	 274 	 294 	 280 	 no 	 no 	 no 	 no 	 no 	 NA* 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	" 7,295 "	" 5,070 "	 -   	" 3,750 "	" 2,615 "	" 4,440 "	" 4,280 "	" 3,800 "	" 1,900 "	" 2,250 "	" 1,064 "	 no 	 62 	 60 	 58 	 60 	 60 	 59 					 39 					 82 	 50 	 49 	 42 	 6 	 NA* 	 -   	 -   	 -   	 -   	 -   	 NR* 	 -   	 NA* 	 1 	 1 	 1 
 CA 	 None 	 no 	 no 	 no 	 no 	" 99,682 "	 yes 	 yes 	 no 	" 15,201 "	" 9,871 "	 yes 	 no 	 no 	 no 	 no 	 no 	" 9,035,223 "	" 9,551,961 "	" 9,551,961 "	" 9,551,961 "	" 118,410 "	" 202,240 "	 yes 	 no 	" 80,780 "	" 259,518 "	 yes 	 no 	 no 	 no 	 no 	 no 	 yes 	 yes 	 yes 	 no 	 no 	 no 	 no 	 no 	" 338,667 "	" 324,398 "	" 300,000 "	 no 	 no 	 no 	 no 	 no 	 28 	 29 	 29 	 29 	 29 	 16 					 236 					 225 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 
 CO 	 Full time 	 yes 	" 1,109 "	" 1,109 "	" 1,276 "	" 8,000 "	" 1,000 "	" 1,000 "	" 3,500 "	" 1,490 "	" 2,756 "	" 5,754 "	" 1,785 "	 -   	 -   	 yes 	 no 	" 3,038,410 "	" 2,996,747 "	" 2,851,386 "	" 2,852,386 "	" 4,124 "	" 5,000 "	" 4,500 "	" 4,976 "	 no 	 no 	 no 	 no 	 yes 	 yes 	 yes 	 yes 	 no 	 no 	 no 	 no 	 yes 	" 8,457 "	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 no 	 no 	 yes 	 75 	 75 	 77 	 77 	 77 	 82 					 54 					 43 	 39 	 46 	 37 	 25 	 NR* 	 2 	 1 	 58 	 4 	 1 	 NR* 	 -   	 NR* 	 2 	 2 	 2 
 CT 	 Full time 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	" 2,349,825 "	" 2,398,227 "	" 2,398,227 "	" 2,910,174 "	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	 no 	" 3,517 "	 yes 	 NR* 	" 1,375 "	 yes 	 yes 	 yes 	 yes 	 no 	 no 	 no 	 no 	 88 	 89 	 89 	 89 	 89 	 86 					 19 					 -   	 34 	 30 	 NR* 	 27 	 NA* 	 16 	 NR* 	 60 	 10 	 8 	 NR* 	 24 	 NA* 	 9 	 NR* 	 4 
 DE 	 Full time 	 NR* 	" 9,000 "	 NR* 	" 14,000 "	 NR* 	" 9,000 "	 NR* 	" 9,000 "	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 500 	" 513,960 "	" 505,747 "	" 505,747 "	" 505,747 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 1,000 "	 NR* 	 NR* 	 yes 	 NR* 	 no 	 NR* 	 yes 	 NR* 	 NR* 	 81 	 81 	 81 	 81 	 81 	 67 					 2 					 -   	 NR* 	 4 	 NR* 	 4 	 NA* 	 8 	 NR* 	 8 	 NR* 	 -   	 NR* 	 -   	 NA* 	 -   	 NR* 	 -   
 DC 	 None 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 NR* 	 no 	 200 	 yes 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	" 595,000 "	" 595,000 "	" 595,000 "	" 595,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 100 	 100 	 100 	 100 	 100 	 100 					 10 					 -   	 15 	 15 	 NR* 	 NR* 	 NA* 	 3 	 NR* 	 NR* 	 2 	 2 	 NR* 	 NR* 	 NA* 	 1 	 NR* 	 NR* 
