state	 totchbel200less1903 	 totchbel200less1902 	 totchbel200less1901 	 totchbel200less1900 	 totchbel200povless1903 	 totchbel200povless1902 	 totchbel200povless1901 	 totchbel200povless1900 	 totchbel200perc03 	 totchbel200perc02 	 totchbel200perc01 	 totchbel200perc00 		 inscovtot03 	 inscovtot02 	 inscovtot01 	 inscovtot00 	 inscovperc03 	 inscovperc02 	 inscovperc01 	 inscovperc00 	 noinscovtot03 	 noinscovtot02 	 noinscovtot01 	 noinscovtot00 	 noinscovperc03 	 inscovperc0no2 	 inscovperc0no1 	 inscovpercno00 
US	" 77,026 "	" 76,600 "	" 75,952 "	" 75,994 "	" 29,907 "	" 29,082 "	" 28,849 "	" 28,135 "	39%	38%	38%	37%		" 24,216 "	" 23,348 "	" 23,130 "	" 22,574 "	31%	30%	30%	30%	" 5,691 "	" 5,735 "	" 5,719 "	" 5,562 "	7%	7%	8%	7%
AL	" 1,146 "	" 1,171 "	" 1,194 "	" 1,224 "	 477 	 476 	 552 	 569 	42%	41%	46%	46%		 414 	 383 	 482 	 491 	36%	33%	40%	40%	63	 93 	 70 	 78 	5%	8%	6%	6%
AK	 201 	 202 	 201 	 221 	 69 	 60 	 61 	 69 	34%	30%	30%	31%		 57 	 54 	 49 	 54 	28%	27%	24%	24%	 11 	 9 	 12 	 15 	5%	4%	6%	7%
AZ	" 1,589 "	" 1,528 "	" 1,609 "	" 1,443 "	 723 	 603 	 725 	 713 	46%	39%	45%	49%		 541 	 456 	 500 	 566 	34%	30%	31%	39%	 181 	 148 	 224 	 148 	11%	10%	14%	10%
AR	 709 	 706 	 734 	 742 	 349 	 365 	 395 	 403 	49%	52%	54%	54%		 311 	 316 	 332 	 333 	44%	45%	45%	45%	 38 	 49 	 63 	 70 	5%	7%	9%	9%
CA	" 9,970 "	" 10,038 "	" 10,318 "	" 10,163 "	" 4,064 "	" 4,219 "	" 4,223 "	" 4,399 "	41%	42%	41%	43%		" 3,261 "	" 3,297 "	" 3,268 "	" 3,310 "	33%	33%	32%	33%	 802 	 922 	 955 	" 1,089 "	8%	9%	9%	11%
CO	" 1,206 "	" 1,192 "	" 1,230 "	" 1,168 "	 408 	 389 	 380 	 308 	34%	33%	31%	26%		 303 	 276 	 287 	 201 	25%	23%	23%	17%	 105 	 112 	 93 	 108 	9%	9%	8%	9%
CT	 901 	 914 	 840 	 905 	 208 	 248 	 223 	 181 	23%	27%	27%	20%		 165 	 205 	 183 	 162 	18%	22%	22%	18%	 43 	 42 	 40 	 19 	5%	5%	5%	2%
DE	 212 	 204 	 208 	 217 	 67 	 63 	 53 	 73 	32%	31%	25%	34%		 57 	 53 	 44 	 69 	27%	26%	21%	32%	 9 	 10 	 9 	 3 	4%	5%	4%	1%
DC	 109 	 121 	 115 	 107 	 54 	 65 	 64 	 43 	50%	54%	56%	40%		 47 	 58 	 57 	 39 	43%	48%	50%	36%	 8 	 7 	 7 	 4 	7%	6%	6%	4%
FL	" 4,179 "	" 4,057 "	" 4,102 "	" 3,656 "	" 1,716 "	" 1,620 "	" 1,782 "	" 1,448 "	41%	40%	43%	40%		" 1,294 "	" 1,246 "	" 1,324 "	" 1,108 "	31%	31%	32%	30%	 422 	 374 	 457 	 340 	10%	9%	11%	9%
GA	" 2,386 "	" 2,339 "	" 2,397 "	" 2,021 "	 862 	 906 	 971 	 776 	36%	39%	41%	38%		 657 	 730 	 763 	 654 	28%	31%	32%	32%	 205 	 176 	 208 	 122 	9%	8%	9%	6%
HI	 324 	 335 	 319 	 290 	 102 	 119 	 121 	 94 	31%	36%	38%	32%		 91 	 107 	 103 	 79 	28%	32%	32%	27%	 11 	 12 	 18 	 15 	3%	4%	6%	5%
ID	 389 	 384 	 400 	 360 	 172 	 165 	 173 	 138 	44%	43%	43%	38%		 136 	 133 	 139 	 102 	35%	35%	35%	28%	 36 	 32 	 34 	 36 	9%	8%	9%	10%
IL	" 3,408 "	" 3,447 "	" 3,233 "	" 3,588 "	" 1,276 "	" 1,256 "	" 1,075 "	" 1,300 "	37%	36%	33%	36%		" 1,046 "	" 1,009 "	 848 	" 1,054 "	31%	29%	26%	29%	 231 	 247 	 227 	 246 	7%	7%	7%	7%
IN	" 1,661 "	" 1,689 "	" 1,531 "	" 1,528 "	 555 	 576 	 555 	 558 	33%	34%	36%	37%		 459 	 469 	 447 	 412 	28%	28%	29%	27%	 96 	 107 	 108 	 146 	6%	6%	7%	10%
IA	 745 	 766 	 760 	 782 	 223 	 252 	 225 	 212 	30%	33%	30%	27%		 177 	 222 	 201 	 174 	24%	29%	26%	22%	 46 	 30 	 23 	 38 	6%	4%	3%	5%
KS	 732 	 749 	 662 	 698 	 245 	 233 	 219 	 264 	33%	31%	33%	38%		 211 	 189 	 192 	 220 	29%	25%	29%	32%	 34 	 45 	 27 	 44 	5%	6%	4%	6%
KY	" 1,048 "	" 1,018 "	" 1,051 "	 994 	 471 	 447 	 448 	 365 	45%	44%	43%	37%		 386 	 362 	 380 	 332 	37%	36%	36%	33%	 85 	 85 	 68 	 34 	8%	8%	6%	3%
LA	" 1,255 "	" 1,232 "	" 1,293 "	" 1,082 "	 620 	 596 	 625 	 587 	49%	48%	48%	54%		 490 	 490 	 511 	 474 	39%	40%	40%	44%	 129 	 106 	 115 	 113 	10%	9%	9%	10%
ME	 301 	 285 	 278 	 301 	 116 	 111 	 97 	 92 	39%	39%	35%	31%		 108 	 97 	 87 	 75 	36%	34%	31%	25%	 8 	 14 	 9 	 17 	3%	5%	3%	6%
MD	" 1,463 "	" 1,433 "	" 1,496 "	" 1,310 "	 403 	 300 	 321 	 320 	28%	21%	21%	24%		 335 	 247 	 261 	 280 	23%	17%	17%	21%	 68 	 53 	 60 	 39 	5%	4%	4%	3%
MA	" 1,564 "	" 1,563 "	" 1,433 "	" 1,663 "	 472 	 443 	 420 	 606 	30%	28%	29%	36%		 397 	 404 	 392 	 537 	25%	26%	27%	32%	 76 	 39 	 28 	 70 	5%	2%	2%	4%
MI	" 2,630 "	" 2,686 "	" 2,526 "	" 2,769 "	 938 	 921 	 849 	 757 	36%	34%	34%	27%		 859 	 798 	 725 	 669 	33%	30%	29%	24%	 79 	 123 	 124 	 88 	3%	5%	5%	3%
MN	" 1,300 "	" 1,310 "	" 1,219 "	" 1,325 "	 320 	 317 	 290 	 317 	25%	24%	24%	24%		 276 	 264 	 254 	 285 	21%	20%	21%	22%	 44 	 54 	 36 	 32 	3%	4%	3%	2%
MS	 800 	 806 	 820 	 804 	 409 	 399 	 447 	 372 	51%	50%	55%	46%		 338 	 332 	 381 	 328 	42%	41%	46%	41%	 70 	 67 	 66 	 44 	9%	8%	8%	5%
MO	" 1,455 "	" 1,452 "	" 1,494 "	" 1,545 "	 499 	 469 	 474 	 410 	34%	32%	32%	27%		 438 	 435 	 431 	 338 	30%	30%	29%	22%	 61 	 34 	 44 	 72 	4%	2%	3%	5%
MT	 227 	 229 	 233 	 212 	 113 	 98 	 102 	 104 	50%	43%	44%	49%		 87 	 80 	 83 	 72 	38%	35%	36%	34%	 26 	 18 	 19 	 32 	11%	8%	8%	15%
NE	 475 	 457 	 457 	 468 	 139 	 156 	 139 	 164 	29%	34%	30%	35%		 118 	 143 	 120 	 143 	25%	31%	26%	31%	 20 	 14 	 19 	 21 	4%	3%	4%	4%
NV	 614 	 595 	 608 	 616 	 247 	 248 	 224 	 243 	40%	42%	37%	39%		 177 	 167 	 166 	 190 	29%	28%	27%	31%	 70 	 81 	 58 	 53 	11%	14%	10%	9%
