state	 medelichild02 	 medelichildproj01 	 chipenrolldec01 	 chipenrolldec00 	 numchil01 	typeprog01	chipfedmatrate03	medfedmatrat03	chipelilevfpl01	chipelilev0102	chipmedlie1502	chipmedeli61602	chipelilev181902	percdenchip04	percdenchip03	percdenchip02	percdenchip01	percdenchip00		percdenmedprog04	percdenmedprog03	percdenmedprog02	percdenmedprog01	percdenmedprog00	numdenmed98
US	" 20,150,840.00 "	" 5,641,596.00 "	" 3,462,442.00 "	" 2,658,170.00 "	" 4,601,098.00 "																				
AL	" 337,726.00 "	" 73,797.00 "	" 46,971.00 "	" 32,915.00 "	" 68,179.00 "	C	79.42	70.60	200	133	133	100	100	71	61	61	55	63	1785	34	21	21	27	26	343
AK	" 56,671.00 "	" 14,445.00 "	" 11,760.00 "	" 9,882.00 "	" 21,831.00 "	M	70.79	58.27	N/A*	200	200	200	200	106	86	79	83	69	NR*	106	86	79	83	69	NR*
AZ	" 356,437.00 "	" 161,143.00 "	" 54,917.00 "	" 41,501.00 "	" 86,863.00 "	S	77.08	67.25	200	140	133	100	100	14	14	15	47	13	2036	14	14	15	47	32	576
AR	" 218,077.00 "	" 106,502.00 "	" 1,686.00 "	" 1,498.00 "	" 2,884.00 "	M	82.00	74.28	N/A*	200	200	200	200	49	37	37	37	NR*	1004				37	32	1065
CA	" 3,032,311.00 "	" 946,535.00 "	" 540,964.00 "	" 389,137.00 "	" 693,048.00 "	C	65.00	50.00	250	200	133	100	100	0	31	0	NR*	NR*	20404	83	42	0	35	40	11690
CO	" 165,167.00 "	" 52,850.00 "	" 38,228.00 "	" 28,158.00 "	" 45,773.00 "	S	65.00	50.00	185	133	133	100	43	32	23	NR*	NR*	NR*	2516	28	26	43	36	12	752
CT	" 217,468.00 "	" 57,630.00 "	" 12,458.00 "	" 10,572.00 "	" 18,720.00 "	C	65.00	50.00	300	185	185	185	185	NR*	15	NR*	86	NR*	2400	NR*	15	NR*	86	NR*	774
DE	" 52,669.00 "	" 12,603.00 "	" 3,502.00 "	" 3,823.00 "	" 5,567.00 "	S	65.00	50.00	200	200	133	100	100	NR*	NR*	NR*	NR*	NR*	331	NR*	39	NR*	27	25	1
DC	" 68,879.00 "	" 13,182.00 "	" 2,554.00 "	" 3,178.00 "	" 2,807.00 "	M	79.00	70.00	N/A*	200	200	200	200	NR*	23	NR*	NR*		NR*	4	23	NR*	NR*	NR*	NR*
FL	" 1,009,733.00 "	" 293,090.00 "	" 249,510.00 "	" 188,364.00 "	" 298,705.00 "	C	71.18	58.83	200	200	133	100	100	NR*	NR*	NR*	NR*	NR*	7084	22	21	NR*	20	19	1935
GA	" 685,341.00 "	" 171,721.00 "	" 150,330.00 "	" 106,574.00 "	" 182,762.00 "	S	71.72	59.60	235	235	133	100	100	55	35	39	24	13	3126	55	35	39	24	13	902
HI	" 85,120.00 "	" 10,250.00 "	" 7,190.00 "	" 3,854.00 "	" 7,137.00 "	M	71.14	58.77	N/A*	200	200	200	200	NR*	NR*	NR*	NR*	NR*	NR*	NR*	35	35	NR*	68	NR*
ID	" 52,790.00 "	" 48,435.00 "	" 11,940.00 "	" 9,150.00 "	" 13,276.00 "	M	79.67	70.96	N/A*	150	150	150	150	91	72	NR*	66	80	637	91	72	NR*	66	80	796
IL	" 832,012.00 "	" 220,024.00 "	" 70,953.00 "	" 61,123.00 "	" 83,510.00 "	C	65.00	50.00	185	200	133	133	133	24	19	24	26	35	7475	24	19	24	26	35	3700
IN	" 377,965.00 "	" 105,430.00 "	" 48,814.00 "	" 45,572.00 "	" 56,986.00 "	C	73.38	61.97	200	150	150	150	150	67	54	54	51	40	2693	73	54	54	51	40	1345
IA	" 143,782.00 "	" 34,081.00 "	" 24,488.00 "	" 18,013.00 "	" 23,270.00 "	C	74.45	63.50	200	200	133	133	133	61	0	NR*	63	NR*	1499	99	92	NR*	89	80	1650
KS	" 132,690.00 "	" 36,945.00 "	" 24,138.00 "	" 19,148.00 "	" 34,241.00 "	S	72.11	60.15	200	150	133	100	100	24	21		NR*	NR*	1258	31	21	24	60	27	440
KY	" 292,741.00 "	" 92,591.00 "	" 50,486.00 "	" 52,653.00 "	" 66,796.00 "	C	78.92	69.89	200	185	150	150	150	NR*	43	30	44	38	2042	NR*	43	30	44	45	1537
LA	" 400,191.00 "	" 180,253.00 "	" 69,906.00 "	" 40,551.00 "	" 69,579.00 "	M	79.90	71.28	N/A*	200	200	200	200	45	39	38	42	37	1983	45	39	38	42	37	1751
ME	" 78,283.00 "	" 14,137.00 "	" 11,595.00 "	" 9,519.00 "	" 27,003.00 "	C	76.35	66.22	200	200	150	150	150	8	48	NR*	49	55	585	44	48	NR*	49	55	563
MD	" 325,774.00 "	" 110,076.00 "	" 96,581.00 "	" 78,068.00 "	" 109,983.00 "	M	65.00	50.00	300	200	200	200	200	NR*	NR*	NR*	NR*	NR*	NR*	NR*	NR*	NR*	NR*	NR*	1306
MA	" 435,059.00 "	" 63,379.00 "	" 53,130.00 "	" 60,854.00 "	" 105,072.00 "	C	65.00	50.00	200	200	150	150	150	NR*	14	14	NR*	NR*	4393	NR*	14	14	20	18	2676
MI	" 683,580.00 "	" 131,221.00 "	" 52,736.00 "	" 27,889.00 "	" 76,181.00 "	C	68.79	55.42	200	185	150	150	150	NR*	NR*	90	90	74	5511	32	NR*	23	23	25	3545
MN	" 295,649.00 "	" 84,949.00 "	 12.00 	 16.00 	 49.00 	M	65.00	50.00	N/A*	280	275	275	275	NR*	NR*	NR*	NR*	NR*	2798	75	75	NR*	91	81	2329
MS	" 268,106.00 "	" 74,356.00 "	" 49,608.00 "	" 30,827.00 "	" 52,436.00 "	C	83.63	76.62	200	185	133	100	100	62	28	NR*	NR*	31	NR*	58	37		60	31	NR*
MO	" 465,100.00 "	" 105,345.00 "	" 77,811.00 "	" 70,888.00 "	" 106,594.00 "	M	72.86	61.23	N/A*	300	300	300	300	1	26	11	11	20	NR*	1	26	11	11	20	NR*
MT	" 44,842.00 "	" 19,873.00 "	" 9,500.00 "	" 9,700.00 "	" 13,518.00 "	S	81.07	72.96	150	133	133	100	71	44	47	43	34	19	457	76	88	78	88	82	408
NE	" 114,320.00 "	" 27,379.00 "	" 9,602.00 "	" 6,921.00 "	" 13,933.00 "	M	71.66	59.52	N/A*	185	185	185	185	104	84	NR*	84	86	1034	104	84	NR*	84	86	816
NV	" 73,444.00 "	" 52,702.00 "	" 22,240.00 "	" 14,247.00 "	" 28,026.00 "	S	66.67	52.39	200	133	133	100	78	NR*	36	NR*	6	21	628	30	36	28	27	21	174
NH	" 60,794.00 "	" 15,113.00 "	" 4,340.00 "	" 3,897.00 "	" 5,982.00 "	C	65.00	50.00	300	300	185	185	185	NR*	76	72	76	NR*	647	NR*	48	47	35	58	526
NJ	" 406,392.00 "	" 103,269.00 "	" 86,199.00 "	" 76,749.00 "	" 99,847.00 "	C	65.00	50.00	350	200	133	133	133	14	NR*	NR*	NR*	15	5837	11	9	9	NR*	7	3788
NM	" 233,384.00 "	" 96,225.00 "	" 9,085.00 "	" 6,172.00 "	" 10,347.00 "	M	82.19	74.56	N/A*	235	235	235	235	53	58	NR*	67	33	690	53	58	NR*	67	33	405
NY	" 1,386,132.00 "	" 301,191.00 "	" 536,709.00 "	" 529,149.00 "	" 872,949.00 "	C	65.00	50.00	250	185	133	133	133	20	5	5	5	5	NR*	46	42	18	18	18	NR*
NC	" 588,028.00 "	" 144,628.00 "	" 64,815.00 "	" 72,024.00 "	" 98,650.00 "	S	73.79	62.56	200	185	133	100	100	67	44	NR*	61	NR*	3036	100	36	NR*	49	16	3323
ND	" 29,424.00 "	" 8,791.00 "	" 2,659.00 "	" 2,225.00 "	" 3,404.00 "	C	77.85	68.36	140	133	133	100	100	88	96	96	97	100	309	118	128	128	90	94	415
OH	" 716,463.00 "	" 179,822.00 "	" 83,741.00 "	" 66,649.00 "	" 158,265.00 "	M	71.18	58.83	N/A*	200	200	200	200	NR*	25	25	32	32	NR*	NR*	25	25	32	32	NR*
OK	" 298,138.00 "	" 88,823.00 "	" 39,000.00 "	" 32,047.00 "	" 38,858.00 "	M	79.39	70.56	N/A*	185	185	185	185	NR*	21	188	115	19	1548	NR*	21	188	115	19	353
OR	" 219,200.00 "	" 52,504.00 "	" 18,436.00 "	" 16,617.00 "	" 41,468.00 "	S	72.11	60.16	170	133	133	100	100	NR*	NR*	NR*	NR*	80	2068	NR*	80	80	74	80	1900
PA	" 798,924.00 "	" 106,042.00 "	" 118,047.00 "	" 104,326.00 "	" 141,163.00 "	S	68.28	54.69	200	185	133	100	46	76	61	NR*	NR*	NR*	NR*	27	26	53	25	NR*	NR*
RI	" 65,622.00 "	" 15,270.00 "	" 12,179.00 "	" 10,619.00 "	" 17,398.00 "	M	68.78	55.40	N/A*	250	250	250	250	NR*	NR*	NR*	NR*	NR*	547	62	47	78	46	NR*	NR*
SC	" 353,244.00 "	" 110,758.00 "	" 47,680.00 "	" 44,329.00 "	" 66,183.00 "	M	78.87	69.81	N/A*	185	150	150	150	48	48	NR*	56	48	1592	48	48	NR*	56	48	533
SD	" 50,641.00 "	" 7,690.00 "	" 7,689.00 "	" 5,545.00 "	" 8,937.00 "	C	75.70	65.29	200	140	140	140	140	67	67	70	NR*	NR*	NR*	67	67	70	NR*	NR*	NR*
TN	" 644,138.00 "	" 122,662.00 "	" 6,131.00 "	" 12,874.00 "	" 8,615.00 "	M	75.21	64.59	N/A*	N/A	N/A	N/A	N/A	NR*	NR*	NR*	NR*		2632	24	NR*		NR*	NR*	508
TX	" 1,508,168.00 "	" 685,369.00 "	" 497,073.00 "	" 200,761.00 "	" 500,950.00 "	C	71.99	59.99	200	185	133	100	100	NR*	NR*	NR*	NR*	NR*	8656	15	NR*	NR*	NR*	33	4876
UT	" 112,683.00 "	" 37,198.00 "	" 26,427.00 "	" 20,389.00 "	" 34,655.00 "	S	79.87	71.24	200	133	133	100	100	57	57	57	52	NR*	1238	45	52	52	56	50	750
VT	" 60,629.00 "	" 6,528.00 "	" 3,058.00 "	" 2,485.00 "	" 2,996.00 "	S	73.69	62.41	300	300	300	300	300	NR*	85	86	84	86	336	84	85	86	84	86	297
VA	" 358,361.00 "	" 71,219.00 "	" 36,091.00 "	" 29,967.00 "	" 73,102.00 "	S	65.37	50.53	200	133	133	100	100	22	17	NR*	NR*	NR*	3649	22	17	16	13	NR*	714
WA	" 506,442.00 "	" 79,918.00 "	" 6,169.00 "	" 2,616.00 "	" 7,621.00 "	S	65.00	50.00	250	200	200	200	200	NR*	29	NR*	NR*	NR*	3434	NR*	31	NR*	42	36	2200
WV	" 182,134.00 "	" 22,018.00 "	" 20,593.00 "	" 15,415.00 "	" 33,144.00 "	S	82.53	75.04	200	150	150	100	100	NR*	0	NR*	62	65	781	89	77	85	62	65	820
WI	" 250,162.00 "	" 62,655.00 "	" 29,661.00 "	" 26,178.00 "	" 57,183.00 "	M	70.90	58.43	N/A*	185	185	185	185	56	56	58	58	58	NR*	56	56	58	58	58	NR*
WY	" 26,707.00 "	" 8,949.00 "	" 3,050.00 "	" 2,479.00 "	" 4,652.00 "	S	72.92	61.32	133	133	133	100	100	NR*	65	68	68	66	240	65	66	68	68	66	190
