state	pro1	xrays	locanes	topanes	floride	pitseal	rootplan	softcuret	adminn20	studycastimp	placeperiod	removeperiod	placesut	removesut	applycavlin	placetemprest	removetemprest	placeamalrest	carveamalrest	finishamalrest	polishamalrest	placecompres	pro2	xray2	locanes2	topanes2	flouride2	pitfisseal2	rootplan2	softcuret2	adminn2o2	studycast2	placeperiod2	removeperiod2	placesut2	removesut2	applycanlin2	placetemprest2	removetemprest2	placeamalrest2	carveamalrest2	finishamalrest2	polishamalrest2	plfinressilrest2
AL	P	P		P	P	P	P	P		P	P	P		P									P	P		P	P	P	P	P		P	P	P		P	P	P	P				P	
AK	N	N	P	N	N	N	N	N	P	N	N	N	N	N							N		N	N	P	N	N	N	N	N	P	N	N	N	N	N	P	N	N				N	
AZ	N	N	P	N	N	N	N	N	P	N	P	P	N/P	N		N	N				N		N	N	P	N	N	N	N	N	P	N	P	P	N/P	N	N	N	N				N	
AR	N	N			N	N	N	N		N		N		N									P/N	P	P	P	P	P	P	P	P	P		P		P		P	P		P		P	
CA	N/U	N/U	P	N/U	N/U	N/U	N/U	P	P	N/U	N/U	N/U		N/U	N/U	N/U	N/U				N/U		N/U	N/U	P	N/U	N/U	N/U	N/U	P	P	N/U	N/U	N/U		N/U		N/U	N/U				N/U	
CO	N/U	N/U	P	N/U	N/U	N/U	N	N/U	P	N	N	N		N	N	N	N	N	N	N	N	N	N/U	N	P	N/U	N/U	N/U	N	N/U	P	N	N	N		N	N	N	N	N	N	N	N	N
CT	N/U	N/U		N/U	N/U	N/U	N/U			N/U	N/U	N/U		N/U							N/U		N/U	N/U		N/U	N/U	N/U	N/U			N/U	N/U	N/U		N/U							N/U	
DE	N	N		N	N	N	N	N		N	N	N		N							N		N	N		N	N	N	N	N		N	N	N		N		N	N				N	
DC	N	N	P	N	N	N	N		P	P	P	P		P		N	N				N		N	N		N	N	P	N			P	P	P		P		P	P				N	
FL	N	N		N	N	N	N	P		N	N	N		N	P	P	P				N		N	N		N	N	P	P	P		N	N	N		N	P	N	N				N	
GA	P	P		P	P	P	P	P		P	P	P		P	P	P/N	P/N				P		P	P		P	P	P	P	P		P	P	P		P		P					P	
HI	P/N	P/N	P	P/N	P/N	P/N	P/N	P/N		P/N	P/N	P/N	P/N	P/N							P/N		P/N	P/N	P	P/N	P/N	P/N	P/N	P/N		P/N	P/N	P/N	P/N	P/N		P/N					P/N	
ID	N	N	P	N	N	N	N		P	P		N		N							N		N	N	P	N	N	N	N		P	P		N		N	P	N	N				N	
IL	N	N	P	N	N	N	N	P	P	N		N		N									P/N	P/N	P	P/N	P/N	P/N	P/N	P/N	P	P/N		P/N		P/N		P/N	P/N				P/N	
IN	P	P		P	P	P	P			P	P	P		P									P/U	P		P	P	P	P				P	P	P		P	P	P	P	P	P	P	P
IA	N	N	P	N	N	N	N	N	P	N	N	N		N	N	N	N				N		N	N	P	N	N	N	N	N	P	N	N	N		N	N	N	N				N	
KS	N	N	P	N	N	N	N	N	N	N	N	N		N							N		N	N	P	N	N	N	N	N	N	N	N	N		N		N	N				N	
KY	N	N	P	N	N	N	N	N	P	N	N	N		N	N	N	N	N	N	N	N	N	P	P		P	P	P	P	P		P	P	P		P	P	P	P	P	P	P	P	P
LA	P/N	P/N	P	P/N	P/N	P/N	P/N			P		P/N		P/N							P		P/N	P/N	P	P/N	P/N	P/N	P/N			P		P/N		P/N		P	P				P	
ME	N	N	P	N	N	N	N	N		N	P	P		N		N					N		N	N	P	N	N	N	N	N		N	P	N		N		N					N	
MD	N	N		N	N	N	N			N	N	N		N		P		P			N		P/N	P/N		P/N	P/N	P/N	P/N			P	P/N	P/N		P/N		P					P	
MA	N	N	P	N	N	N	N			N	N	N		N		N	N	N			N		N	N		N	N	N	N	N		N	N	N		N		N	P	P			N	
MI	N/U	N	P*	N	N	N	N	P		N	N	N		N	N			N	N		N		N/U	N		N	N	N	N	P		N	N	N		N	N						N	
MN	N	N	P	N	N	N	N	N	P	N	N	N		N	N	N	N			P	N		N	N	P	N	N	N	N	N	P	N	N	N		N	N	N	N				N	
MS	P	P			P	P	P	P		P	P	P		P	 								P/N	P/N			P	P	P	P		P	P	P		P		P	P				P	
MO	N/U	N	P	N	N/U	N/U	N/U	N	P	N	P	P		P				P/N	P/N	P/N	P/N		N	N	P	N	N	N	N	N	P	N	P	P		P		N	N				P/N	
MT	N	N	P	N	N	N	N	N		N	N	N		N		N	N				N		N	N	P	N	N	N	N	N		N	N	N		N		N	N				N	
NE	N	N	P	N	N	N	N	N		N	N	N		N		N	N				N		N	N	P	N	N	N	N	N		N	N	N		N		N	N				N	
NV	N/U	N/U	P/U	N/U	N/U	N/U	P/U		P/U	N/U	N/U	N/U		N/U		N/U					N/U		N	N	P	N	N	N	P	P	P	N	N	N		N		N	N				N	
NH	N	N	P*	N	N	N	N			N		N		N	N	N	N	N			N		N	N		N	N	N	N			N		N		N							N	
NJ	P/N	P/N		P/N	P/N	P	P/N	P/N		P	P	P		P		P					P		P/N	P/N		P/N	P/N	P	P/N	P/N		P	P	P		P		P	P	P			P	
NM	N/U	N/U	P	N	N/U	N	N	N		N		P									N		N	N	P	N	N	N	N	N		N		N				N	N				N	
NY	N	N	P	N	N	N	N		P	P	P	P		P		P	P						N	N		N	N	N	N			P	P	P		P		P	P				N	
NC	P	P		P	P	P	P			P		P		P	P	P	P				P		P	P		P	P	P	P			P		P		P	P	P	P				P	
ND	N	N	P*	N	N	N	N	N		P	P	P		P		P	P				P		N	N		N	N	N	N	N		P	P	P		P		P	P				P	
OH	N	N		N	N	P	P	P		N	P	P		P							P		N	N		N	N	P	P	P		N	P	N		P	P	P	P	P	P	P	P	P
OK	N	N	P	N	N	N	N	N	P	N	N	N		N		N					N		N	N	P	N	N	N	N	P	P	N	N	N		N		N	N				N	
OR	N/U	N/U	N	N/U	N/U	N	N/U	N/U	P	N/U	N/U	N/U		N/U		N/U					N/U		N/U	N/U	N	N/U	N/U	N	N/U	N/U	P	N/U	N/U	N/U		N/U		N/U					N/U	
PA	P/N	P/N		P/N	P/N	P/N	P/N			P				P									P/N	P/N		P/N	P/N	P/N	P/N			P				P	P						P	
RI	N	N		N	N	N	N			P	P	P		P							P		N	N		N	N	N	N			P	P	P		P	P	P	P				P	
SC	N	N	P	P	P	P/N	P/N			P		P		P		P/N					P		P/N	P	P	P	P/N	P/N	P/N			P		P		P							P	
SD	N	P	P	P	P	N	P	P	P			P									N		N	P	P	P	P	N	P	P	P			P									N	
TN	N	N	P	P	N	P	P	P	P	P		P		P	P	P	P	P			P		N	N		P	P	P	P	P	P	P		P		P		P	P	P			P	
TX	N	N		N	N	N	N			N	N	N		N							N		N	N		N	N	N	N			N	N	N		N		N	N				N	
UT	N	N	P	N	N	N	N	N	P	N	N	N	N	N							N		N	N	P	N	N	N	N	N	P	N	N	N	N	N		N	N				N	
VT	N	N	P	N	N	N	N			N	N	N		N									N	N	P	N	N	N	N			N	N	N		N		N	N			N	N	
VA	N	N		N	N	N	N			N	N	N		N									P	P		P	P	P	P			P	P	P		P				P			P	
WA	N/U	N	P	N	N/U	N/U	N/U	P/U	P	N	P	P		P				P	P	P	N	P	N/U	N	P	N	N/U	N	N/U	P/U	P	N	P	P		P	P	P		P	P	P	N	P
WV	P	P		P	P	P	P			P	P	P		P							P		P	P		P	P	P	P			P	P	P		P							P	
WI	N/U	N	P	N	N/U	N/U	N/U			N	N	N		N		N							N/U	N	P	N	N	N	N			N	N	N		N							N	
WY	N	N	P	N	N	P	P			N	P	P		N							N		N	N	P	N	N	P	N			N	P	P		N		N		P	P	P	N	P
