Year	 range 	 type 	 US 	 AL 	 AK 	 AZ 	 AR 	 CA 	 CO 	 CT 	 DE 	 DC 	 FL 	 GA 	 HI 	 ID 	 IL 	 IN 	 IA 	 KS 	 KY 	 LA 	 ME 	 MD 	 MA 	 MI 	 MN 	 MS 	 MO 	 MT 	 NE 	 NV 	 NH 	 NJ 	 NM 	 NY 	 NC 	 ND 	 OH 	 OK 	 OR 	 PA 	 RI 	 SC 	 SD 	 TN 	 TX 	 UT 	 VT 	 VA 	 WA 	 WV 	 WI 	 WY 
2003	 Total 	 CN 		" 131,892 "	" 26,453 "	" 130,835 "	" 68,804 "	" 815,060 "	" 73,527 "	" 68,551 "	" 15,618 "	" 14,556 "	" 271,403 "	" 292,142 "		" 38,173 "	" 228,217 "	" 186,293 "	" 73,091 "	" 47,179 "	" 51,222 "	" 166,799 "		" 120,827 "	" 53,788 "	" 250,161 "	" 64,219 "	" 101,726 "	" 101,726 "	" 11,835 "	" 56,613 "	" 16,205 "		" 113,105 "		" 121,398 "	" 233,210 "	" 9,210 "	" 288,066 "		" 57,252 "	" 212,761 "	" 30,498 "	" 207,218 "	" 20,970 "	" 162,681 "	" 868,200 "	" 10,786 "	" 30,309 "	" 83,976 "	" 233,874 "	" 63,460 "	" 75,118 "	" 12,419 "
2003	 Total 	 MN 		 -   	 -   	 -   	 527 	" 116,852 "	 -   	 112 	 -   	" 1,384 "	 457 	 9 		 -   	" 1,169 "	 -   	 178 	 62 	" 6,303 "	 109 		" 6,800 "	" 92,370 "	" 2,888 "	" 44,137 "	 -   	 -   	 62 	 12 	 -   		 -   		" 185,711 "	 244 	 -   	 -   		 -   	" 3,888 "	 5 	" 31,057 "	 -   	" 51,135 "	" 1,310 "	 57 	 97 	 55 	 32 	 8 	" 2,407 "	 -   
2003	 Total 	 Total 		" 131,892 "	" 26,453 "	" 130,835 "	" 69,331 "	" 931,912 "	" 73,527 "	" 68,663 "	" 15,618 "	" 15,940 "	" 271,860 "	" 292,151 "		" 38,173 "	" 229,386 "	" 186,293 "	" 73,269 "	" 47,241 "	" 57,525 "	" 166,908 "		" 127,627 "	" 146,158 "	" 253,049 "	" 108,356 "	" 101,726 "	" 101,726 "	" 11,897 "	" 56,625 "	" 16,205 "		" 113,105 "		" 307,109 "	" 233,454 "	" 9,210 "	" 288,066 "		" 57,252 "	" 216,649 "	" 30,503 "	" 238,275 "	" 20,970 "	" 213,816 "	" 869,510 "	" 10,843 "	" 30,406 "	" 84,031 "	" 233,906 "	" 63,468 "	" 77,525 "	" 12,419 "
2003	 <1 	 CN 		 37 	 10 	 5 	 51 	 4 	 42 	 8 	 -   	 476 	 63 	 30 		 5 	 74 	 -   	 520 	 2 	 760 	 8 		 258 	 1 	 10 	 2 	 235 	 235 	 -   	 271 	 75 		 51 		 11 	" 2,647 "	 2 	 13 		 7 	 8 	 -   	 42 	 15 	 110 	 2 	 8 	 3 	 142 	 316 	 583 	 3 	 2 
2003	 <1 	 MN 		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 52 	 -   		 10 	 2 	 -   	 1 	 -   	 -   	 -   	 -   	 -   		 -   		 40 	 4 	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 15 	 -   	 -   	 -   	 -   	 -   	 -   	 1 	 -   
2003	 <1 	 Total 		 37 	 10 	 5 	 51 	 4 	 42 	 8 	 -   	 476 	 63 	 30 		 5 	 74 	 -   	 520 	 2 	 812 	 8 		 268 	 3 	 10 	 3 	 235 	 235 	 -   	 271 	 75 		 51 		 51 	" 2,651 "	 2 	 13 		 7 	 8 	 -   	 42 	 15 	 125 	 2 	 8 	 3 	 142 	 316 	 583 	 4 	 2 
2003	 1-2 	 CN 		" 4,859 "	 655 	" 1,879 "	" 2,506 "	 368 	" 4,186 "	" 1,349 "	 233 	 936 	" 6,995 "	" 4,697 "		 709 	" 5,181 "	" 4,839 "	" 3,907 "	 673 	" 4,519 "	" 4,694 "		" 3,294 "	 467 	" 2,535 "	" 1,147 "	" 6,617 "	" 6,617 "	 229 	" 1,048 "	" 1,069 "		" 22,127 "		" 2,028 "	" 33,414 "	 102 	" 3,739 "		" 1,613 "	" 2,698 "	 87 	" 3,640 "	 438 	" 3,294 "	" 97,708 "	 640 	 628 	" 5,009 "	" 12,044 "	 852 	 728 	 268 
2003	 1-2 	 MN 		 -   	 -   	 -   	 20 	 56 	 -   	 -   	 -   	 9 	 2 	 -   		 -   	 6 	 -   	 -   	 -   	 568 	 3 		 190 	 648 	 7 	 251 	 -   	 -   	 -   	 -   	 -   		 -   		" 2,095 "	 13 	 -   	 -   		 -   	 16 	 -   	 184 	 -   	 330 	 3 	 2 	 1 	 1 	 -   	 -   	 85 	 -   
2003	 1-2 	 Total 		" 4,859 "	 655 	" 1,879 "	" 2,526 "	 424 	" 4,186 "	" 1,349 "	 233 	 945 	" 6,997 "	" 4,697 "		 709 	" 5,187 "	" 4,839 "	" 3,907 "	 673 	" 5,087 "	" 4,697 "		" 3,484 "	" 1,115 "	" 2,542 "	" 1,398 "	" 6,617 "	" 6,617 "	 229 	" 1,048 "	" 1,069 "		" 22,127 "		" 4,123 "	" 33,427 "	 102 	" 3,739 "		" 1,613 "	" 2,714 "	 87 	" 3,824 "	 438 	" 3,624 "	" 97,711 "	 642 	 629 	" 5,010 "	" 12,044 "	 852 	 813 	 268 
2003	 3-5 	 CN 		" 32,862 "	" 4,470 "	" 28,614 "	" 15,405 "	" 139,143 "	" 17,759 "	" 12,915 "	" 3,294 "	" 2,913 "	" 61,142 "	" 65,639 "		" 7,185 "	" 48,098 "	" 37,883 "	" 15,701 "	" 10,286 "	" 11,965 "	" 35,894 "		" 22,916 "	" 9,498 "	" 48,600 "	" 13,094 "	" 26,415 "	" 26,415 "	" 2,525 "	" 10,740 "	" 3,460 "		" 16,018 "		" 28,936 "	" 44,735 "	" 1,836 "	" 60,957 "		" 11,998 "	" 38,441 "	" 4,431 "	" 36,697 "	" 3,996 "	" 29,899 "	" 208,839 "	" 2,593 "	" 4,830 "	" 18,583 "	" 47,337 "	" 11,775 "	" 13,826 "	" 2,518 "
2003	 3-5 	 MN 		 -   	 -   	 -   	 106 	" 15,596 "	 -   	 2 	 -   	 172 	 19 	 -   		 -   	 99 	 -   	 4 	 4 	" 1,649 "	 25 		" 1,200 "	" 14,201 "	 300 	" 5,671 "	 -   	 -   	 4 	 -   	 -   		 -   		" 22,853 "	 20 	 -   	 -   		 -   	 272 	 -   	" 1,947 "	 -   	" 5,273 "	 12 	 4 	 4 	 2 	 6 	 -   	" 1,986 "	 -   
2003	 3-5 	 Total 		" 32,862 "	" 4,470 "	" 28,614 "	" 15,511 "	" 154,739 "	" 17,759 "	" 12,917 "	" 3,294 "	" 3,085 "	" 61,161 "	" 65,639 "		" 7,185 "	" 48,197 "	" 37,883 "	" 15,705 "	" 10,290 "	" 13,614 "	" 35,919 "		" 24,116 "	" 23,699 "	" 48,900 "	" 18,765 "	" 26,415 "	" 26,415 "	" 2,529 "	" 10,740 "	" 3,460 "		" 16,018 "		" 51,789 "	" 44,755 "	" 1,836 "	" 60,957 "		" 11,998 "	" 38,713 "	" 4,431 "	" 38,644 "	" 3,996 "	" 35,172 "	" 208,851 "	" 2,597 "	" 4,834 "	" 18,585 "	" 47,343 "	" 11,775 "	" 15,812 "	" 2,518 "
2003	 6-9 	 CN 		" 38,687 "	" 7,436 "	" 41,649 "	" 20,288 "	" 264,473 "	" 20,409 "	" 20,773 "	" 5,096 "	" 4,010 "	" 78,038 "	" 88,501 "		" 11,615 "	" 73,602 "	" 56,487 "	" 18,571 "	" 13,434 "	" 11,517 "	" 46,658 "		" 32,705 "	" 14,404 "	" 77,554 "	" 17,810 "	" 27,621 "	" 27,621 "	" 3,347 "	" 16,409 "	" 4,649 "		" 26,639 "		" 34,068 "	" 58,209 "	" 2,622 "	" 82,867 "		" 16,450 "	" 59,625 "	" 9,373 "	" 61,120 "	" 6,043 "	" 45,271 "	" 232,028 "	" 3,400 "	" 8,247 "	" 24,124 "	" 67,504 "	" 17,383 "	" 23,017 "	" 3,618 "
2003	 6-9 	 MN 		 -   	 -   	 -   	 156 	" 29,593 "	 -   	 5 	 -   	 335 	 115 	 1 		 -   	 195 	 -   	 10 	 17 	" 1,464 "	 24 		" 1,563 "	" 24,657 "	 544 	" 11,105 "	 -   	 -   	 -   	 2 	 -   		 -   		" 56,620 "	 38 	 -   	 -   		 -   	 444 	 -   	" 9,970 "	 -   	" 12,602 "	 39 	 18 	 8 	 11 	 11 	 2 	 289 	 -   
2003	 6-9 	 Total 		" 38,687 "	" 7,436 "	" 41,649 "	" 20,444 "	" 294,066 "	" 20,409 "	" 20,778 "	" 5,096 "	" 4,345 "	" 78,153 "	" 88,502 "		" 11,615 "	" 73,797 "	" 56,487 "	" 18,581 "	" 13,451 "	" 12,981 "	" 46,682 "		" 34,268 "	" 39,061 "	" 78,098 "	" 28,915 "	" 27,621 "	" 27,621 "	" 3,347 "	" 16,411 "	" 4,649 "		" 26,639 "		" 90,688 "	" 58,247 "	" 2,622 "	" 82,867 "		" 16,450 "	" 60,069 "	" 9,373 "	" 71,090 "	" 6,043 "	" 57,873 "	" 232,067 "	" 3,418 "	" 8,255 "	" 24,135 "	" 67,515 "	" 17,385 "	" 23,306 "	" 3,618 "
