Year	 range 	 type 	 US 	 AL 	 AK 	 AZ 	 AR 	 CA 	 CO 	 CT 	 DE 	 DC 	 FL 	 GA 	 HI 	 ID 	 IL 	 IN 	 IA 	 KS 	 KY 	 LA 	 ME 	 MD 	 MA 	 MI 	 MN 	 MS 	 MO 	 MT 	 NE 	 NV 	 NH 	 NJ 	 NM 	 NY 	 NC 	 ND 	 OH 	 OK 	 OR 	 PA 	 RI 	 SC 	 SD 	 TN 	 TX 	 UT 	 VT 	 VA 	 WA 	 WV 	 WI 	 WY 
2003	 Total 	 CN 		" 85,081 "	" 17,663 "	" 96,504 "	" 45,833 "	" 622,724 "	" 42,116 "	" 36,342 "	" 9,041 "	" 11,097 "	" 177,124 "	" 322,260 "		" 38,113 "	" 248,654 "	" 115,992 "	" 60,826 "	" 27,130 "	" 59,774 "	" 107,320 "		" 102,968 "	" 33,853 "	" 115,725 "	" 38,880 "	" 65,633 "	" 65,633 "	" 8,220 "	" 33,702 "	" 10,055 "		" 61,423 "		" 76,626 "	" 127,031 "	" 5,620 "	" 139,495 "		" 35,554 "	" 131,853 "	" 17,530 "	" 118,982 "	" 10,130 "	" 94,414 "	" 490,015 "	" 20,139 "	" 15,557 "	" 16,131 "	" 151,528 "	" 39,795 "	" 49,169 "	" 8,268 "
2003	 Total 	 MN 		 -   	 -   	 -   	 329 	" 622,723 "	 -   	 109 	 -   	 443 	 358 	 10 		 -   	" 1,389 "	 -   	 170 	 30 	" 7,603 "	 75 		" 5,434 "	" 54,973 "	" 1,889 "	" 23,912 "	 -   	 -   	 48 	 10 	 -   		 -   		" 128,728 "	 211 	 -   	 -   		 -   	" 3,595 "	 5 	" 18,640 "	 -   	" 36,900 "	" 1,582 "	 94 	 98 	 16 	 15 	 9 	" 1,473 "	 -   
2003	 Total 	 Total 		" 85,081 "	" 17,663 "	" 96,504 "	" 46,162 "	" 1,245,447 "	" 42,116 "	" 36,451 "	" 9,041 "	" 11,540 "	" 177,482 "	" 322,270 "		" 38,113 "	" 250,043 "	" 115,992 "	" 60,996 "	" 27,160 "	" 67,377 "	" 107,395 "		" 108,402 "	" 88,826 "	" 117,614 "	" 62,792 "	" 65,633 "	" 65,633 "	" 8,268 "	" 33,712 "	" 10,055 "		" 61,423 "		" 205,354 "	" 127,242 "	" 5,620 "	" 139,495 "		" 35,554 "	" 135,448 "	" 17,535 "	" 137,622 "	" 10,130 "	" 131,314 "	" 491,597 "	" 20,233 "	" 15,655 "	" 16,147 "	" 151,543 "	" 39,804 "	" 50,642 "	" 8,268 "
2003	 <1 	 CN 		 30 	 5 	 16 	 7 	 2 	 12 	 4 	 1 	 949 	 50 	 129 		 9 	 79 	 20 	 79 	 11 	 20 	 13 		 66 	 12 	 18 	 4 	 84 	 84 	 -   	 436 	 1 		 23 		 10 	 25 	 5 	 24 		 3 	 26 	 1 	 10 	 4 	 276 	 43 	 36 	 3 	 58 	 63 	 509 	 820 	 4 
2003	 <1 	 MN 		 -   	 -   	 -   	 -   	 1 	 -   	 -   	 -   	 -   	 -   	 -   		 -   	 1 	 -   	 -   	 -   	 2 	 -   		 3 	 13 	 -   	 2 	 -   	 -   	 -   	 -   	 -   		 -   		 56 	 3 	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 61 	 -   	 -   	 -   	 -   	 -   	 -   	 52 	 -   
2003	 <1 	 Total 		 30 	 5 	 16 	 7 	 3 	 12 	 4 	 1 	 949 	 50 	 129 		 9 	 80 	 20 	 79 	 11 	 22 	 13 		 69 	 25 	 18 	 6 	 84 	 84 	 -   	 436 	 1 		 23 		 66 	 28 	 5 	 24 		 3 	 26 	 1 	 10 	 4 	 337 	 43 	 36 	 3 	 58 	 63 	 509 	 872 	 4 
2003	 1-2 	 CN 		" 2,454 "	 337 	" 1,718 "	" 1,145 "	 378 	" 1,232 "	 344 	 115 	" 1,764 "	" 4,399 "	" 6,856 "		 709 	" 5,078 "	" 1,610 "	" 1,101 "	 265 	 593 	" 2,032 "		" 2,148 "	 270 	 889 	 539 	" 2,566 "	" 2,566 "	 150 	 447 	 271 		 901 		 714 	" 1,910 "	 69 	" 1,048 "		 545 	" 1,655 "	 51 	" 1,170 "	 99 	 999 	" 11,740 "	" 1,018 "	 204 	 753 	" 3,718 "	 344 	" 1,198 "	 118 
2003	 1-2 	 MN 		 -   	 -   	 -   	 5 	 378 	 -   	 -   	 -   	 -   	 -   	 -   		 -   	 1 	 -   	 -   	 -   	 65 	 1 		 121 	 309 	 3 	 101 	 -   	 -   	 -   	 -   	 -   		 -   		 862 	 6 	 -   	 -   		 -   	 6 	 6 	 74 	 -   	 157 	 -   	 1 	 -   	 -   	 -   	 -   	 201 	 -   
2003	 1-2 	 Total 		" 2,454 "	 337 	" 1,718 "	" 1,150 "	 756 	" 1,232 "	 344 	 115 	" 1,764 "	" 4,399 "	" 6,856 "		 709 	" 5,079 "	" 1,610 "	" 1,101 "	 265 	 658 	" 2,033 "		" 2,269 "	 579 	 892 	 640 	" 2,566 "	" 2,566 "	 150 	 447 	 271 		 901 		" 1,576 "	" 1,916 "	 69 	" 1,048 "		 545 	" 1,661 "	 57 	" 1,244 "	 99 	" 1,156 "	" 11,740 "	" 1,019 "	 204 	 753 	" 3,718 "	 344 	" 1,399 "	 118 
2003	 3-5 	 CN 		" 19,262 "	" 2,586 "	" 19,487 "	" 9,213 "	" 954,343 "	" 9,656 "	" 4,275 "	" 1,421 "	" 1,502 "	" 37,085 "	" 72,515 "		" 7,185 "	" 54,352 "	" 18,842 "	" 10,472 "	" 4,746 "	" 7,331 "	" 17,503 "		" 20,202 "	" 3,787 "	" 16,580 "	" 6,072 "	" 14,107 "	" 14,107 "	" 1,627 "	" 5,020 "	" 1,901 "		" 7,600 "		" 11,404 "	" 22,304 "	 849 	" 18,898 "		" 6,500 "	" 17,730 "	" 1,295 "	" 17,958 "	" 1,407 "	" 12,383 "	" 97,342 "	" 5,972 "	" 1,817 "	" 2,728 "	" 28,416 "	" 5,284 "	" 6,686 "	" 1,486 "
2003	 3-5 	 MN 		 -   	 -   	 -   	 62 	" 954,343 "	 -   	 1 	 -   	 -   	 19 	 -   		 -   	 1 	 -   	 2 	 3 	 980 	 11 		 989 	" 4,938 "	 100 	" 2,180 "	 -   	 -   	 3 	 -   	 -   		 -   		" 9,502 "	 9 	 -   	 -   		 -   	 137 	 -   	 931 	 -   	" 2,586 "	 -   	 15 	 2 	 1 	 2 	 -   	 996 	 -   
2003	 3-5 	 Total 		" 19,262 "	" 2,586 "	" 19,487 "	" 9,275 "	" 1,908,686 "	" 9,656 "	" 4,276 "	" 1,421 "	" 1,502 "	" 37,104 "	" 72,515 "		" 7,185 "	" 54,353 "	" 18,842 "	" 10,474 "	" 4,749 "	" 8,311 "	" 17,514 "		" 21,191 "	" 8,725 "	" 16,680 "	" 8,252 "	" 14,107 "	" 14,107 "	" 1,630 "	" 5,020 "	" 1,901 "	 -   	" 7,600 "		" 20,906 "	" 22,313 "	 849 	" 18,898 "		" 6,500 "	" 17,867 "	" 1,295 "	" 18,889 "	" 1,407 "	" 14,969 "	" 97,342 "	" 5,987 "	" 1,819 "	" 2,729 "	" 28,418 "	" 5,284 "	" 7,682 "	" 1,486 "
2003	 6-9 	 CN 		" 25,169 "	" 4,715 "	" 30,540 "	" 14,196 "	" 208,469 "	" 12,428 "	" 10,372 "	" 2,897 "	" 2,790 "	" 49,000 "	" 93,997 "		" 11,615 "	" 72,829 "	" 34,936 "	" 17,008 "	" 7,996 "	" 15,825 "	" 30,502 "		" 29,390 "	" 8,711 "	" 35,419 "	" 10,713 "	" 17,394 "	" 17,394 "	" 2,312 "	" 10,087 "	" 3,152 "		" 15,453 "		" 18,534 "	" 36,176 "	" 1,583 "	" 39,694 "		" 10,197 "	" 35,476 "	" 4,595 "	" 35,458 "	" 3,019 "	" 23,854 "	" 146,164 "	" 5,132 "	" 4,210 "	" 3,615 "	" 47,799 "	" 10,389 "	" 13,504 "	" 2,467 "
2003	 6-9 	 MN 		 -   	 -   	 -   	 97 	" 208,469 "	 -   	 2 	 -   	 -   	 91 	 1 		 -   	 207 	 -   	 10 	 4 	" 1,896 "	 14 		" 1,321 "	" 13,766 "	 277 	" 5,867 "	 -   	 -   	 7 	 1 	 -   		 -   		" 32,456 "	 27 	 -   	 -   		 -   	 277 	 -   	" 5,699 "	 -   	" 7,326 "	 38 	 23 	 8 	 5 	 4 	 2 	 159 	 -   
2003	 6-9 	 Total 		" 25,169 "	" 4,715 "	" 30,540 "	" 14,293 "	" 416,938 "	" 12,428 "	" 10,374 "	" 2,897 "	" 2,790 "	" 49,091 "	" 93,998 "		" 11,615 "	" 73,036 "	" 34,936 "	" 17,018 "	" 8,000 "	" 17,721 "	" 30,516 "		" 30,711 "	" 22,477 "	" 35,696 "	" 16,580 "	" 17,394 "	" 17,394 "	" 2,319 "	" 10,088 "	" 3,152 "		" 15,453 "		" 50,990 "	" 36,203 "	" 1,583 "	" 39,694 "		" 10,197 "	" 35,753 "	" 4,595 "	" 41,157 "	" 3,019 "	" 31,180 "	" 146,202 "	" 5,155 "	" 4,218 "	" 3,620 "	" 47,803 "	" 10,391 "	" 13,663 "	" 2,467 "
2003	 10-14 	 CN 		" 22,936 "	" 5,302 "	" 26,335 "	" 13,127 "	" 194,679 "	" 10,927 "	" 12,591 "	" 2,693 "	" 2,578 "	" 51,667 "	" 94,435 "		" 12,034 "	" 72,802 "	" 34,339 "	" 18,666 "	" 7,701 "	" 19,845 "	" 31,559 "		" 32,852 "	" 11,428 "	" 36,107 "	" 10,926 "	" 18,621 "	" 18,621 "	" 2,248 "	" 9,550 "	" 2,848 "		" 20,697 "		" 25,104 "	" 37,448 "	" 1,659 "	" 43,045 "		" 9,447 "	" 41,494 "	" 6,740 "	" 36,261 "	" 3,148 "	" 30,454 "	" 137,761 "	" 4,277 "	" 5,128 "	" 5,026 "	" 41,785 "	" 12,054 "	" 14,045 "	" 2,252 "
2003	 10-14 	 MN 		 -   	 -   	 -   	 86 	" 194,679 "	 -   	 3 	 -   	 -   	 62 	 3 		 -   	 418 	 -   	 11 	 10 	" 2,443 "	 20 		" 1,535 "	" 19,610 "	 302 	" 7,380 "	 -   	 -   	 16 	 -   	 -   		 -   		" 45,737 "	 36 	 -   	 -   		 -   	 375 	 -   	" 5,717 "	 -   	" 10,883 "	 51 	 31 	 9 	 5 	 5 	 -   	 8 	 -   
2003	 10-14 	 Total 		" 22,936 "	" 5,302 "	" 26,335 "	" 13,213 "	" 389,358 "	" 10,927 "	" 12,594 "	" 2,693 "	" 2,578 "	" 51,729 "	" 94,438 "		" 12,034 "	" 73,220 "	" 34,339 "	" 18,677 "	" 7,711 "	" 22,288 "	" 31,579 "		" 34,387 "	" 31,038 "	" 36,409 "	" 18,306 "	" 18,621 "	" 18,621 "	" 2,264 "	" 9,550 "	" 2,848 "		" 20,697 "		" 70,841 "	" 37,484 "	" 1,659 "	" 43,045 "		" 9,447 "	" 41,869 "	" 6,740 "	" 41,978 "	" 3,148 "	" 41,337 "	" 137,812 "	" 4,308 "	" 5,137 "	" 5,031 "	" 41,790 "	" 12,054 "	" 14,053 "	" 2,252 "
2003	 15-18 	 CN 		" 14,185 "	" 3,977 "	" 13,266 "	" 7,618 "	" 104,397 "	" 6,676 "	" 7,291 "	" 1,519 "	" 1,225 "	" 29,415 "	" 46,753 "		" 5,542 "	" 34,720 "	" 20,786 "	" 10,499 "	" 5,299 "	" 1,385 "	" 22,017 "		" 15,041 "	" 7,529 "	" 21,333 "	" 7,795 "	" 10,965 "	" 10,965 "	" 1,507 "	" 6,313 "	" 1,554 "		" 13,871 "		" 16,206 "	" 22,774 "	" 1,107 "	" 28,146 "		" 7,164 "	" 27,877 "	" 4,092 "	" 22,874 "	" 2,014 "	" 20,681 "	" 77,870 "	" 3,205 "	" 3,570 "	" 3,601 "	" 25,471 "	" 8,611 "	" 9,848 "	" 1,594 "
2003	 15-18 	 MN 		 -   	 -   	 -   	 59 	" 104,397 "	 -   	 20 	 -   	 -   	 48 	 3 		 -   	 655 	 -   	 11 	 13 	" 1,966 "	 16 		" 1,045 "	" 13,392 "	 248 	" 5,681 "	 -   	 -   	 19 	 1 	 -   		 -   		" 28,414 "	 65 	 -   	 -   		 -   	 369 	 -   	" 6,219 "	 -   	" 8,307 "	 224 	 24 	 37 	 4 	 4 	 2 	 32 	 -   
2003	 15-18 	 Total 		" 14,185 "	" 3,977 "	" 13,266 "	" 7,677 "	" 208,794 "	" 6,676 "	" 7,311 "	" 1,519 "	" 1,225 "	" 29,463 "	" 46,756 "		" 5,542 "	" 35,375 "	" 20,786 "	" 10,510 "	" 5,312 "	" 3,351 "	" 22,033 "		" 16,086 "	" 20,921 "	" 21,581 "	" 13,476 "	" 10,965 "	" 10,965 "	" 1,526 "	" 6,314 "	" 1,554 "		" 13,871 "		" 44,620 "	" 22,839 "	" 1,107 "	" 28,146 "		" 7,164 "	" 28,246 "	" 4,092 "	" 29,093 "	" 2,014 "	" 28,988 "	" 78,094 "	" 3,229 "	" 3,607 "	" 3,605 "	" 25,475 "	" 8,613 "	" 9,880 "	" 1,594 "
2003	 19-20 	 CN 		" 1,045 "	 741 	" 5,142 "	 437 	" 19,456 "	" 1,185 "	" 1,465 "	 388 	 289 	" 5,508 "	" 7,575 "		" 1,019 "	" 8,704 "	" 5,459 "	" 3,001 "	" 1,112 "	" 2,315 "	" 3,694 "		" 3,269 "	" 2,116 "	" 5,379 "	" 2,831 "	" 1,896 "	" 1,896 "	 376 	" 1,849 "	 328 		" 2,878 "		" 4,654 "	" 6,394 "	 348 	" 8,640 "		" 1,698 "	" 7,595 "	 756 	" 5,251 "	 439 	" 5,767 "	" 19,095 "	 499 	 625 	 350 	" 4,276 "	" 2,604 "	" 3,068 "	 347 
